,INPUT:dataset_name,INPUT:model_id,INPUT:topic_id,INPUT:wordset,OUTPUT:quality,OUTPUT:topic_name,OUTPUT:bad_words,llm_score,llm_metric,human_metric
5458,20newsgroups,631ba5136d9890a069a96392,main15,price board shipping package slot hello port sony thank unit sell purchase digital mask nubus,bad,,"{""price"":false,""board"":false,""shipping"":false,""package"":false,""slot"":false,""hello"":false,""port"":false,""sony"":false,""thank"":false,""unit"":false,""sell"":false,""purchase"":false,""digital"":false,""mask"":false,""nubus"":false}","ChatCompletion(id='chatcmpl-9Ve6AKPkT42iNEuMHTBa5LVFByH9Q', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None))], created=1717329334, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=275, total_tokens=276))",1,1
2621,20newsgroups,631bbbf943fb92a9d1439d96,main46,moral school keith caltech animal morality human livesey definition natural behavior humans goal learning solntze,bad,,"{""moral"":false,""school"":false,""keith"":false,""caltech"":false,""animal"":false,""morality"":false,""human"":false,""livesey"":false,""definition"":false,""natural"":false,""behavior"":false,""humans"":false,""goal"":false,""learning"":false,""solntze"":false}","ChatCompletion(id='chatcmpl-9Ve6BqmRZcuX2cXQMhnumHSwy1b9a', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='2', role='assistant', function_call=None, tool_calls=None))], created=1717329335, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=315, total_tokens=316))",2,1
4225,20newsgroups,631b992927e1a64b30541a0c,main10,news anonymous service usenet network internet email electronic privacy message user public conference site congress,bad,,"{""news"":false,""anonymous"":false,""service"":false,""usenet"":false,""network"":false,""internet"":false,""email"":false,""electronic"":false,""privacy"":false,""message"":false,""user"":false,""public"":false,""conference"":false,""site"":false,""congress"":false}","ChatCompletion(id='chatcmpl-9Ve6CDFnyOAQSbwALlb8gtnzfowlF', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329336, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=321, total_tokens=322))",3,1
2066,20newsgroups,631b929d5a95b966a8e30347,main15,apple offer monitor sale price shipping pitt selling manual gordon sell purchase banks dealer excellent,bad,,"{""purchase"":false,""sale"":false,""sell"":false,""manual"":false,""dealer"":false,""monitor"":false,""apple"":false,""pitt"":false,""excellent"":false,""shipping"":false,""price"":false,""selling"":false,""offer"":false,""banks"":false,""gordon"":false}","ChatCompletion(id='chatcmpl-9Ve6CI7zlg29ISJ3JHmTZyThIfphX', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='2', role='assistant', function_call=None, tool_calls=None))], created=1717329336, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=295, total_tokens=296))",2,1
3392,20newsgroups,631bb830cda35d2841a002ce,main10,anonymous news service usenet privacy network electronic internet email site public user server congress archive,bad,,"{""anonymous"":false,""news"":false,""service"":false,""usenet"":false,""privacy"":false,""network"":false,""electronic"":false,""internet"":false,""email"":false,""site"":false,""public"":false,""user"":false,""server"":false,""congress"":false,""archive"":false}","ChatCompletion(id='chatcmpl-9Ve6DG9lE6I5uwd72n9SpoI8G6bC0', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329337, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=313, total_tokens=314))",3,1
1836,20newsgroups,631b899af849c89c61879fd2,main6,disk scsi card speed controller port fast board chip modem floppy machine upgrade cable switch,good,Computer,"{""disk"":false,""scsi"":true,""card"":false,""speed"":false,""controller"":false,""port"":false,""fast"":false,""board"":false,""chip"":false,""modem"":false,""floppy"":false,""machine"":false,""upgrade"":false,""cable"":false,""switch"":false}","ChatCompletion(id='chatcmpl-9Ve6Es97ca107uvs3GQ0ABWqbDWRI', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329338, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=277, total_tokens=278))",3,4
799,20newsgroups,631ba8d415ff0c23bc8b4939,main15,price apple sell offer monitor sale shipping asking condition model keyboard selling pitt manual original,good,business,"{""price"":false,""apple"":true,""sell"":false,""offer"":false,""monitor"":false,""sale"":false,""shipping"":false,""asking"":true,""condition"":false,""model"":false,""keyboard"":false,""selling"":false,""pitt"":true,""manual"":false,""original"":false}","ChatCompletion(id='chatcmpl-9Ve6EWTrTxySI1IRv0fE4N4RYY8tR', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329338, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=299, total_tokens=300))",3,4
1635,20newsgroups,631bbb9a27e1a64b30544213,main32,water cold nuclear marc heat tower cool plant energy cooling nist temperature needle ncsl steam,good,energy,"{""water"":false,""cold"":false,""nuclear"":false,""marc"":true,""heat"":false,""tower"":false,""cool"":false,""plant"":false,""energy"":false,""cooling"":false,""nist"":false,""temperature"":false,""needle"":false,""ncsl"":false,""steam"":false}","ChatCompletion(id='chatcmpl-9Ve6FsvI2k4BtIw6WbQnjmp1ziage', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329339, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=279, total_tokens=280))",3,4
614,20newsgroups,631b95e6f30064faf33e1a29,main3,drug country nazi child german anti care germany political party jewish society research policy insurance,good,nazi's,"{""drug"":false,""country"":false,""nazi"":false,""child"":true,""german"":false,""anti"":false,""care"":false,""germany"":false,""political"":false,""party"":false,""jewish"":false,""society"":false,""research"":false,""policy"":false,""insurance"":true}","ChatCompletion(id='chatcmpl-9Ve6GOShpl2t4qV0R1D7nkDZ66X6d', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='2', role='assistant', function_call=None, tool_calls=None))], created=1717329340, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=299, total_tokens=300))",2,4
3522,20newsgroups,631bbb9a27e1a64b30544213,main10,news anonymous service usenet network privacy electronic internet email site public user server congress archive,good,News,"{""service"":false,""server"":false,""user"":false,""public"":false,""email"":false,""archive"":false,""privacy"":false,""electronic"":false,""internet"":false,""network"":false,""anonymous"":false,""usenet"":false,""site"":false,""congress"":false,""news"":false}","ChatCompletion(id='chatcmpl-9Ve6H17aK0yljjz4gB5TkVl3nNgPI', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329341, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=313, total_tokens=314))",3,4
3703,20newsgroups,631b984360e7802f72e1e084,main24,driver card memory simms cards crash battery gateway backup diamond tower accelerator error boot tape,rather_bad,,"{""driver"":false,""card"":false,""memory"":false,""simms"":false,""cards"":false,""crash"":false,""battery"":false,""gateway"":false,""backup"":false,""diamond"":false,""tower"":false,""accelerator"":false,""error"":false,""boot"":false,""tape"":false}","ChatCompletion(id='chatcmpl-9Ve6IBeLHV9lgWnoMyaELpUwJCGIQ', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='2', role='assistant', function_call=None, tool_calls=None))], created=1717329342, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=291, total_tokens=292))",2,2
212,20newsgroups,631b963d60e7802f72e1ded0,main34,guess wave roger wrong tape story ryan previous cleveland indiana ottawa coming freenet ever udel,rather_bad,,"{""guess"":false,""wave"":false,""roger"":false,""wrong"":false,""tape"":false,""story"":false,""ryan"":false,""previous"":false,""cleveland"":false,""indiana"":false,""ottawa"":false,""coming"":false,""freenet"":false,""ever"":false,""udel"":false}","ChatCompletion(id='chatcmpl-9Ve6If9YNlXMWkrejrtmKxwNhQSJ5', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None))], created=1717329342, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=283, total_tokens=284))",1,2
1619,20newsgroups,631ba618f849c89c6187c087,main40,reference function cipher text random attack crypt muslim cryptography gregg jaeger plaintext parts ciphertext hash,rather_bad,,"{""reference"":false,""function"":false,""cipher"":false,""text"":false,""random"":false,""attack"":false,""crypt"":false,""muslim"":false,""cryptography"":false,""gregg"":false,""jaeger"":false,""plaintext"":false,""parts"":false,""ciphertext"":false,""hash"":false}","ChatCompletion(id='chatcmpl-9Ve6Jfgt1C3wR8ObtvMOBCFCeX9Rh', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329343, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=319, total_tokens=320))",3,2
7080,20newsgroups,631ba4b8cda35d28419fe92f,main16,access appear digex henry toronto informatik phone hamburg mass intercon amanda spencer hole bontchev walker,rather_bad,,"{""access"":false,""appear"":false,""digex"":false,""henry"":false,""toronto"":false,""informatik"":false,""phone"":false,""hamburg"":false,""mass"":false,""intercon"":false,""amanda"":false,""spencer"":false,""hole"":false,""bontchev"":false,""walker"":false}","ChatCompletion(id='chatcmpl-9Ve6K8S5ItKhV4AbYqqS1rV3QbvAb', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None))], created=1717329344, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=305, total_tokens=306))",1,2
6050,20newsgroups,631b876431be382c45bf1671,main32,water internet tower plant marc nist heat cooling nuclear cool temperature email site ncsl steam,rather_bad,,"{""water"":false,""internet"":false,""tower"":false,""plant"":false,""marc"":false,""nist"":false,""heat"":false,""cooling"":false,""nuclear"":false,""cool"":false,""temperature"":false,""email"":false,""site"":false,""ncsl"":false,""steam"":false}","ChatCompletion(id='chatcmpl-9Ve6Lf71pmWqIs75OZAIO0sO81ABK', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None))], created=1717329345, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=281, total_tokens=282))",1,2
2726,20newsgroups,631b8e0779ac792348a7d3ff,main29,woman face home city wife child left kill building helmet dead mother apartment live father,rather_good,murder,"{""woman"":false,""face"":false,""home"":false,""city"":false,""wife"":false,""child"":false,""left"":false,""kill"":false,""building"":false,""helmet"":true,""dead"":false,""mother"":false,""apartment"":false,""live"":false,""father"":false}","ChatCompletion(id='chatcmpl-9Ve6L1kDfWFe5MLhz2gO8ZCNXQJRP', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='2', role='assistant', function_call=None, tool_calls=None))], created=1717329345, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=271, total_tokens=272))",2,3
2458,20newsgroups,631bb9a503546430aed1831e,main46,argument ence moral keith human statement saying imply caltech conclusion definition morality wrong rule discussion,rather_good,moral ,"{""argument"":false,""ence"":false,""moral"":false,""keith"":true,""human"":false,""statement"":false,""saying"":false,""imply"":true,""caltech"":false,""conclusion"":false,""definition"":false,""morality"":false,""wrong"":false,""rule"":false,""discussion"":false}","ChatCompletion(id='chatcmpl-9Ve6Mw0uczUxmrvso9u6mGrRiqbPq', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='2', role='assistant', function_call=None, tool_calls=None))], created=1717329346, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=319, total_tokens=320))",2,3
2854,20newsgroups,631bb8282d85fb2da960a6a5,main33,offer copy sale asking condition manual sell title email excellent brand price original shipping send,rather_good,Business ,"{""offer"":true,""copy"":true,""sale"":true,""asking"":true,""condition"":true,""manual"":true,""sell"":true,""title"":true,""email"":true,""excellent"":false,""brand"":true,""price"":true,""original"":true,""shipping"":true,""send"":true}","ChatCompletion(id='chatcmpl-9Ve6NxsKb6A5ULbUqd64bnk80XdHJ', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329347, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=291, total_tokens=292))",3,3
597,20newsgroups,631b8b91814e124a8fb05a0c,main3,israel pres israeli encryption public security arab country clipper policy chip drug attack clinton administration,rather_good,israel,"{""israel"":false,""pres"":true,""israeli"":true,""encryption"":false,""public"":true,""security"":true,""arab"":true,""country"":true,""clipper"":false,""policy"":false,""chip"":false,""drug"":false,""attack"":true,""clinton"":false,""administration"":false}","ChatCompletion(id='chatcmpl-9Ve6OK6sE1SQ5xGGjYZZda1VsuQUa', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None))], created=1717329348, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=317, total_tokens=318))",1,3
2839,20newsgroups,631b92af939bfaaca5600cb2,main22,israeli arab population thousand policy bullet border none daughter israel switzerland building mass wife religious,rather_good,Israel ,"{""israeli"":false,""arab"":false,""population"":false,""thousand"":false,""policy"":false,""bullet"":false,""border"":false,""none"":true,""daughter"":true,""israel"":false,""switzerland"":true,""building"":true,""mass"":false,""wife"":true,""religious"":false}","ChatCompletion(id='chatcmpl-9Ve6PxAlTJD7hrwvAVg5jmVUpkhUL', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='2', role='assistant', function_call=None, tool_calls=None))], created=1717329349, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=319, total_tokens=320))",2,3
2249,amazon_food,632614f5d0e066f2a5009e2e,main0,size month highly start baby quickly glad daughter son thanks every perfect supply since lot,bad,,"{""size"":false,""month"":false,""highly"":false,""start"":false,""baby"":false,""quickly"":false,""glad"":false,""daughter"":false,""son"":false,""thanks"":false,""every"":false,""perfect"":false,""supply"":false,""since"":false,""lot"":false}","ChatCompletion(id='chatcmpl-9Ve6QhtRKHzYl9CcACGzHtNk9CcUM', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None))], created=1717329350, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=273, total_tokens=274))",1,1
5960,amazon_food,63230d58174d83c12d0f686b,main44,different many others keurig k-cups name brewer creamy curry k-cup experiment extra paste way although,bad,,"{""different"":false,""many"":false,""others"":false,""keurig"":false,""k-cups"":false,""name"":false,""brewer"":false,""creamy"":false,""curry"":false,""k-cup"":false,""experiment"":false,""extra"":false,""paste"":false,""way"":false,""although"":false}","ChatCompletion(id='chatcmpl-9Ve6QsaJ7R1d8A7YBVokCseN6tPNV', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None))], created=1717329350, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=291, total_tokens=292))",1,1
820,amazon_food,6323133ccda35d2841a0215c,main51,almond smooth body blue magnesium cause diamond reminds increase bowel peppermint nutrient rda blood source,bad,,"{""almond"":false,""smooth"":false,""body"":false,""blue"":false,""magnesium"":false,""cause"":false,""diamond"":false,""reminds"":false,""increase"":false,""bowel"":false,""peppermint"":false,""nutrient"":false,""rda"":false,""blood"":false,""source"":false}","ChatCompletion(id='chatcmpl-9Ve6RfhEOYzcggneP3sqmgOWPtPWd', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None))], created=1717329351, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=303, total_tokens=304))",1,1
2212,amazon_food,6316852dcd40321fd2b2b511,main4,bone bubble rawh oat gum chewer miso slim china steel mushroom bulldog dubble chew groat,bad,,"{""bone"":false,""bubble"":false,""rawh"":false,""oat"":false,""gum"":false,""chewer"":false,""miso"":false,""slim"":false,""china"":false,""steel"":false,""mushroom"":false,""bulldog"":false,""dubble"":false,""chew"":false,""groat"":false}","ChatCompletion(id='chatcmpl-9Ve6RUxRgPNzWMHJy3zSEGJT4ufu9', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None))], created=1717329351, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=265, total_tokens=266))",1,1
7928,amazon_food,632305d31f1cdaab8d66d630,main37,say can't run wait cocoa iced dont least four know alot personally believe watery sure,bad,,"{""say"":false,""can't"":false,""run"":false,""wait"":false,""cocoa"":false,""iced"":false,""dont"":false,""least"":false,""four"":false,""know"":false,""alot"":false,""personally"":false,""believe"":false,""watery"":false,""sure"":false}","ChatCompletion(id='chatcmpl-9Ve6Se8KSCeTlp5apa0gBlRs4Wqil', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None))], created=1717329352, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=260, total_tokens=261))",1,1
8299,amazon_food,632307d7bd3239d091ddaccf,main49,big nut plus extra fan etc mixed hit microwave dessert flavour cashew thats walnut car,good,Baking ,"{""big"":false,""nut"":false,""plus"":false,""extra"":false,""fan"":false,""etc"":false,""mixed"":false,""hit"":false,""microwave"":false,""dessert"":false,""flavour"":false,""cashew"":false,""thats"":false,""walnut"":false,""car"":false}","ChatCompletion(id='chatcmpl-9Ve6TesQvlSSOz1HtHjbIQQKC1UcX', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None))], created=1717329353, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=261, total_tokens=262))",1,4
7709,amazon_food,63231259a8551b213999c0b5,main28,grocery cost able home deliver run trip shelf visit plant door ask realize live gallon,good,deliver ,"{""grocery"":false,""cost"":false,""able"":false,""home"":false,""deliver"":false,""run"":false,""trip"":false,""shelf"":false,""visit"":false,""plant"":false,""door"":false,""ask"":false,""realize"":false,""live"":false,""gallon"":false}","ChatCompletion(id='chatcmpl-9Ve6Tf4ekURVimg0EJQBODCdf3Kza', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='2', role='assistant', function_call=None, tool_calls=None))], created=1717329353, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=261, total_tokens=262))",2,4
5351,amazon_food,632612deea431d67984bb9f7,main6,bottle shipping plastic iced delivery glass lemon seller mint lime peach forward drinking count tip,good,Juice,"{""bottle"":false,""shipping"":true,""plastic"":true,""iced"":false,""delivery"":false,""glass"":false,""lemon"":false,""seller"":false,""mint"":false,""lime"":false,""peach"":false,""forward"":true,""drinking"":false,""count"":false,""tip"":false}","ChatCompletion(id='chatcmpl-9Ve6UWmz40u7sttese5nvcJ8UJ9U0', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='2', role='assistant', function_call=None, tool_calls=None))], created=1717329354, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=287, total_tokens=288))",2,4
2506,amazon_food,63231259a8551b213999c0b5,main21,chip healthy tasty excellent fiber healthier lunch crave dip alternative satisfy crunch cheddar vinegar market,good,Nutrition,"{""chip"":false,""healthy"":false,""tasty"":false,""excellent"":false,""fiber"":false,""healthier"":false,""lunch"":false,""crave"":false,""dip"":false,""alternative"":false,""satisfy"":false,""crunch"":false,""cheddar"":false,""vinegar"":false,""market"":false}","ChatCompletion(id='chatcmpl-9Ve6V3BOY7jta8SslgRU1ODuGRyDr', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329355, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=309, total_tokens=310))",3,4
8569,amazon_food,6325db66814e124a8fb0d331,main65,every two month week family friend gift ago life already lose grow plant none ready,good,growth,"{""every"":false,""two"":false,""month"":false,""week"":false,""family"":false,""friend"":false,""gift"":false,""ago"":false,""life"":false,""already"":false,""lose"":false,""grow"":false,""plant"":false,""none"":false,""ready"":false}","ChatCompletion(id='chatcmpl-9Ve6WpcVXBumeqzfdYznpJ8v6nc8T', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None))], created=1717329356, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=255, total_tokens=256))",1,4
