,INPUT:dataset_name,INPUT:model_id,INPUT:topic_id,INPUT:wordset,OUTPUT:quality,OUTPUT:topic_name,OUTPUT:bad_words,llm_score,llm_metric,human_metric
5775,amazon_food,632308451b24cf3ff7176832,main7,thing enough quite expect probably i'd rather n't either certainly awful normally stir bother might,rather_bad,,"{""thing"":false,""enough"":false,""quite"":false,""expect"":false,""probably"":false,""i'd"":false,""rather"":false,""n't"":false,""either"":false,""certainly"":false,""awful"":false,""normally"":false,""stir"":false,""bother"":false,""might"":false}","ChatCompletion(id='chatcmpl-9Ve6WFdnsYHfoS5OM0qM4nYX7owOe', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None))], created=1717329356, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=285, total_tokens=286))",1,2
5940,amazon_food,63230f2aeef852a376dcab18,main33,vanilla chew pod toy bone pound chai caramel french creamer maker rawh senseo drip target,rather_bad,,"{""vanilla"":false,""chew"":false,""pod"":false,""toy"":false,""bone"":false,""pound"":false,""chai"":false,""caramel"":false,""french"":false,""creamer"":false,""maker"":false,""rawh"":false,""senseo"":false,""drip"":false,""target"":false}","ChatCompletion(id='chatcmpl-9Ve6XwDoZkTmfq8TlZdRTTudJhinc', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None))], created=1717329357, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=267, total_tokens=268))",1,2
6561,amazon_food,632307fc9f78e26f713e94ed,main96,ingredient color corn allergy puppy source stevia research filler allergic list yellow main human soy,rather_bad,,"{""ingredient"":false,""color"":false,""corn"":false,""allergy"":false,""puppy"":false,""source"":false,""stevia"":false,""research"":false,""filler"":false,""allergic"":false,""list"":false,""yellow"":false,""main"":false,""human"":false,""soy"":false}","ChatCompletion(id='chatcmpl-9Ve6YP0xFNs2Xzw9HxgyuQofAHLCT', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='2', role='assistant', function_call=None, tool_calls=None))], created=1717329358, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=291, total_tokens=292))",2,2
9152,amazon_food,6326058b326449942d83d2b9,main18,far butter peanut recently consistency we've supermarket reasonable newman's walmart hopefully blow they'd macadamia apricot,rather_bad,,"{""far"":false,""butter"":false,""peanut"":false,""recently"":false,""consistency"":false,""we've"":false,""supermarket"":false,""reasonable"":false,""newman's"":false,""walmart"":false,""hopefully"":false,""blow"":false,""they'd"":false,""macadamia"":false,""apricot"":false}","ChatCompletion(id='chatcmpl-9Ve6ZwEovZlYlGWMjORiw4tnq7Yfj', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None))], created=1717329359, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=334, total_tokens=335))",1,2
6959,amazon_food,63230c61b8301ca38b7ffbde,main99,able amaze fill glad stop daily fantastic move prime plenty empty subtle job strongly litter,rather_bad,,"{""able"":false,""amaze"":false,""fill"":false,""glad"":false,""stop"":false,""daily"":false,""fantastic"":false,""move"":false,""prime"":false,""plenty"":false,""empty"":false,""subtle"":false,""job"":false,""strongly"":false,""litter"":false}","ChatCompletion(id='chatcmpl-9Ve6ZuVICM7Ku8upUKBVHsWBpR7hr', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None))], created=1717329359, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=273, total_tokens=274))",1,2
6541,amazon_food,632620474fecb0a9aa0a8534,main47,less calorie protein amount low fat fiber weight sodium gram substitute carbs lower lose diet,rather_good,Low calorie diets ,"{""less"":false,""calorie"":false,""protein"":false,""amount"":false,""low"":false,""fat"":false,""fiber"":false,""weight"":false,""sodium"":false,""gram"":false,""substitute"":true,""carbs"":false,""lower"":false,""lose"":false,""diet"":false}","ChatCompletion(id='chatcmpl-9Ve6agEIu0ANnkMCjxu0OXqn4v9u1', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329360, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=275, total_tokens=276))",3,3
2221,amazon_food,63230d74dca999f95522b3ea,main6,bottle shipping grocery cost carry available pay subscribe delivery local pleased per free cheaper seller,rather_good,Grocery,"{""bottle"":true,""shipping"":false,""grocery"":false,""cost"":false,""carry"":false,""available"":false,""pay"":false,""subscribe"":true,""delivery"":false,""local"":false,""pleased"":true,""per"":false,""free"":false,""cheaper"":false,""seller"":false}","ChatCompletion(id='chatcmpl-9Ve6bylu92zS8JYfx8kQei14Uhabh', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='2', role='assistant', function_call=None, tool_calls=None))], created=1717329361, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=299, total_tokens=300))",2,3
3367,amazon_food,632603cebd3239d091ddf08e,main58,perfect fresh honey packaging cracker plastic condition lover fit convenience packed sit package described mini,rather_good,Product,"{""perfect"":false,""fresh"":false,""honey"":true,""packaging"":false,""cracker"":true,""plastic"":false,""condition"":false,""lover"":false,""fit"":false,""convenience"":false,""packed"":false,""sit"":true,""package"":false,""described"":false,""mini"":false}","ChatCompletion(id='chatcmpl-9Ve6cGRBODR9ztsmvNUGfUs2OUGsK', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='2', role='assistant', function_call=None, tool_calls=None))], created=1717329362, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=311, total_tokens=312))",2,3
7242,amazon_food,63231a39f30064faf33e66fb,main16,enjoy strong morning brew bitter blend packet perfect aftertaste starbucks regular cold iced mild indiv,rather_good,Coffee,"{""enjoy"":false,""strong"":false,""morning"":false,""brew"":false,""bitter"":false,""blend"":false,""packet"":false,""perfect"":false,""aftertaste"":false,""starbucks"":false,""regular"":false,""cold"":false,""iced"":false,""mild"":false,""indiv"":true}","ChatCompletion(id='chatcmpl-9Ve6dp4XX3PiOz5ue40G43Uvkdz5v', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329363, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=295, total_tokens=296))",3,3
7030,amazon_food,63231259a8551b213999c0b5,main43,strong prefer bold medium cherry ginger stronger orange kona chamomile bitterness intense wake cola slight,rather_good,Drinks,"{""strong"":true,""prefer"":false,""bold"":true,""medium"":false,""cherry"":true,""ginger"":true,""stronger"":true,""orange"":true,""kona"":false,""chamomile"":true,""bitterness"":false,""intense"":true,""wake"":false,""cola"":true,""slight"":false}","ChatCompletion(id='chatcmpl-9Ve6dsBeV2Z37bM3trzVImEsIFzdV', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='2', role='assistant', function_call=None, tool_calls=None))], created=1717329363, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=301, total_tokens=302))",2,3
221,lenta_ru,631b86ca19a5c21ffa454150,main7,евро пятница достигать пункт мировой курс показатель стоять судья торги устраивать снижаться валюта испания торговля,bad,,"{""устраивать"":false,""курс"":false,""достигать"":false,""евро"":false,""судья"":false,""пункт"":false,""стоять"":false,""мировой"":false,""валюта"":false,""торговля"":false,""торги"":false,""испания"":false,""пятница"":false,""показатель"":false,""снижаться"":false}","ChatCompletion(id='chatcmpl-9Ve6eylY3fVIJsNALgzffOu5bCNkU', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None))], created=1717329364, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=327, total_tokens=328))",1,1
1013,lenta_ru,631b8a903cf48bd97d2c296c,main89,шайба норвегия забросить преимущество крис ванкувер бостон решающий козлов розыгрыш норвежец пхенчхан ковальчук марат research,bad,,"{""шайба"":false,""норвегия"":false,""забросить"":false,""преимущество"":false,""крис"":false,""ванкувер"":false,""бостон"":false,""решающий"":false,""козлов"":false,""розыгрыш"":false,""норвежец"":false,""пхенчхан"":false,""ковальчук"":false,""марат"":false,""research"":false}","ChatCompletion(id='chatcmpl-9Ve6fHZN8Jrvk9aIVCbngm3huKIeX', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None))], created=1717329365, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_aa87380ac5', usage=CompletionUsage(completion_tokens=1, prompt_tokens=343, total_tokens=344))",1,1
4351,lenta_ru,631b86e479ac792348a7ccac,main37,строительство здание улица городской построить объект участок столица планироваться жилой комплекс столичный департамент реконструкция земельный,bad,,"{""строительство"":false,""здание"":false,""улица"":false,""городской"":false,""построить"":false,""объект"":false,""участок"":false,""столица"":false,""планироваться"":false,""жилой"":false,""комплекс"":false,""столичный"":false,""департамент"":false,""реконструкция"":false,""земельный"":false}","ChatCompletion(id='chatcmpl-9Ve6fyebMLFqtb2YBUQnus1LbLRPI', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329365, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=382, total_tokens=383))",3,1
9097,lenta_ru,631b860397c373406e26b835,main9,daily мать увидеть успевать австралийский длина домой плюс сердце удерживать компьютерный общественность сосед поймать лежать,bad,,"{""daily"":false,""мать"":false,""увидеть"":false,""успевать"":false,""австралийский"":false,""длина"":false,""домой"":false,""плюс"":false,""сердце"":false,""удерживать"":false,""компьютерный"":false,""общественность"":false,""сосед"":false,""поймать"":false,""лежать"":false}","ChatCompletion(id='chatcmpl-9Ve6gNRISkkRUxX5eWrMMg32wyuDz', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None))], created=1717329366, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=347, total_tokens=348))",1,1
1746,lenta_ru,631b8cf531be382c45bf1ad3,main19,депутат отказываться комитет направлять пытаться чиновник госдума призывать покидать помимо рассматривать полностью ответственность решать оказывать,bad,,"{""депутат"":false,""отказываться"":false,""комитет"":false,""направлять"":false,""пытаться"":false,""чиновник"":false,""госдума"":false,""призывать"":false,""покидать"":false,""помимо"":false,""рассматривать"":false,""полностью"":false,""ответственность"":false,""решать"":false,""оказывать"":false}","ChatCompletion(id='chatcmpl-9Ve6hj7M4y1iXv0Rflo8s7nQ8tsZ0', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329367, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=395, total_tokens=396))",3,1
211,lenta_ru,631b869e7668936a8be4f75a,main24,уголовный обвинение статья следствие преступление прокуратура убийство возбуждать расследование адвокат следственный арест арестовывать приговаривать свобода,good,следствие,"{""уголовный"":false,""обвинение"":false,""статья"":false,""следствие"":false,""преступление"":false,""прокуратура"":false,""убийство"":false,""возбуждать"":false,""расследование"":false,""адвокат"":false,""следственный"":false,""арест"":false,""арестовывать"":false,""приговаривать"":false,""свобода"":false}","ChatCompletion(id='chatcmpl-9Ve6iP21CBxt8LJdEGQP1rWWTMLiD', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329368, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=407, total_tokens=408))",3,4
1349,lenta_ru,62f87bccba8b2d74acf422f3,unknown,цена рынок основной евро нефть мировой вырастать экономика курс упасть снижаться снижение валюта биржа индекс нефтяной подниматься снижать баррель отметка,good,мировой рынок,"{""цена"":false,""рынок"":false,""основной"":false,""евро"":false,""нефть"":false,""мировой"":false,""вырастать"":false,""экономика"":false,""курс"":false,""упасть"":false,""снижаться"":false,""снижение"":false,""валюта"":false,""биржа"":false,""индекс"":false,""нефтяной"":false,""подниматься"":false,""снижать"":false,""баррель"":false,""отметка"":false}","ChatCompletion(id='chatcmpl-9Ve6jeae2QAQrbAhIigJ1sPpQfqnK', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329369, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=404, total_tokens=405))",3,4
2898,lenta_ru,631b8cf531be382c45bf1ad3,main33,премьер добавлять путин ситуация встреча говорить дмитрий проблема интервью никакой выражать крым секретарь тасс медведев,good,Политика,"{""премьер"":false,""добавлять"":false,""путин"":false,""ситуация"":false,""встреча"":false,""говорить"":false,""дмитрий"":false,""проблема"":false,""интервью"":false,""никакой"":false,""выражать"":false,""крым"":false,""секретарь"":false,""тасс"":false,""медведев"":false}","ChatCompletion(id='chatcmpl-9Ve6kOtWO10HWntoP4aaq3hljFMNz', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='2', role='assistant', function_call=None, tool_calls=None))], created=1717329370, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=337, total_tokens=338))",2,4
5189,lenta_ru,631b886d174d83c12d0f1a33,main18,продажа стоимость квартира строительство продавать метр квадратный сделка жилье площадь приобретать общий объект недвижимость торговый,good,Объект недвижимости ,"{""продажа"":false,""стоимость"":false,""квартира"":false,""строительство"":false,""продавать"":false,""метр"":false,""квадратный"":false,""сделка"":false,""жилье"":false,""площадь"":false,""приобретать"":false,""общий"":false,""объект"":false,""недвижимость"":false,""торговый"":false}","ChatCompletion(id='chatcmpl-9Ve6k70lXcyzMc82jpzvOWHvjSxgF', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329370, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=365, total_tokens=366))",3,4
558,lenta_ru,62f92e1f9119fc375b0c2ff0,unknown,фильм лента роль картина снимать актер режиссер сериал герой сыграть актриса съемка сниматься исполнять сценарий кино прокат продюсер эпизод персонаж,good,Кинематография,"{""фильм"":false,""лента"":false,""роль"":false,""картина"":false,""снимать"":false,""актер"":false,""режиссер"":false,""сериал"":false,""герой"":false,""сыграть"":false,""актриса"":false,""съемка"":false,""сниматься"":false,""исполнять"":false,""сценарий"":false,""кино"":false,""прокат"":false,""продюсер"":false,""эпизод"":false,""персонаж"":false}","ChatCompletion(id='chatcmpl-9Ve6lnzaXRp79seE2oYkWhvCumlhM', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329371, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=394, total_tokens=395))",3,4
6602,lenta_ru,631b9158ad5963ae703be71e,main49,причина подчеркивать оставаться безопасность некоторый мера устанавливать предлагать сделать операция клуб руководитель премьер британский момент,rather_bad,,"{""руководитель"":false,""мера"":false,""безопасность"":false,""операция"":false,""подчеркивать"":false,""клуб"":false,""британский"":false,""предлагать"":false,""причина"":false,""оставаться"":false,""устанавливать"":false,""сделать"":false,""некоторый"":false,""премьер"":false,""момент"":false}","ChatCompletion(id='chatcmpl-9Ve6mFs9L4dnexwVksktydPa7AfLt', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='2', role='assistant', function_call=None, tool_calls=None))], created=1717329372, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=387, total_tokens=388))",2,2
2986,lenta_ru,631b869e7668936a8be4f75a,main21,франция французский иран казахстан германия france язык олимпийский италия presse немецкий визит польша премьер agence,rather_bad,,"{""франция"":false,""французский"":false,""иран"":false,""казахстан"":false,""германия"":false,""france"":false,""язык"":false,""олимпийский"":false,""италия"":false,""presse"":false,""немецкий"":false,""визит"":false,""польша"":false,""премьер"":false,""agence"":false}","ChatCompletion(id='chatcmpl-9Ve6m2UHrXoS8Ce2WeBKpQ6AhZHAT', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None))], created=1717329372, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=327, total_tokens=328))",1,2
10715,lenta_ru,631b8d837668936a8be4ff6e,main23,состав добавлять обнаруживать общий александр решать участник член создавать сборная начинаться рамка британский срок лента,rather_bad,,"{""состав"":false,""добавлять"":false,""обнаруживать"":false,""общий"":false,""александр"":false,""решать"":false,""участник"":false,""член"":false,""создавать"":false,""сборная"":false,""начинаться"":false,""рамка"":false,""британский"":false,""срок"":false,""лента"":false}","ChatCompletion(id='chatcmpl-9Ve6nGoFp0yKFOsvwT5n0UhjgHY7P', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None))], created=1717329373, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=340, total_tokens=341))",1,2
4582,lenta_ru,631b93e8300a84d577b19668,main2,устройство видео аппарат телефон песня стоить разрешение килограмм камера мобильный экран apple смартфон равный iphone,rather_bad,,"{""устройство"":false,""видео"":false,""аппарат"":false,""телефон"":false,""песня"":false,""стоить"":false,""разрешение"":false,""килограмм"":false,""камера"":false,""мобильный"":false,""экран"":false,""apple"":false,""смартфон"":false,""равный"":false,""iphone"":false}","ChatCompletion(id='chatcmpl-9Ve6onQDWsHnT8rPPAmriw0uVl5A5', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329374, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=327, total_tokens=328))",3,2
11137,lenta_ru,631b861817dc5fce149d0406,main49,иностранный германия франция немецкий французский france латвия presse идея обещать agence визит призыв париж скандал,rather_bad,,"{""иностранный"":false,""германия"":false,""франция"":false,""немецкий"":false,""французский"":false,""france"":false,""латвия"":false,""presse"":false,""идея"":false,""обещать"":false,""agence"":false,""визит"":false,""призыв"":false,""париж"":false,""скандал"":false}","ChatCompletion(id='chatcmpl-9Ve6ohUoQAmYCRvVmg4docRoieDEh', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329374, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=324, total_tokens=325))",3,2
9392,lenta_ru,631b861b4bb36217238dc28c,main24,движение общественный номер станция милиция столичный отделение активист линия административный отель отдел подмосковье милиционер отпускать,rather_good,движение,"{""движение"":false,""общественный"":false,""номер"":false,""станция"":false,""милиция"":false,""столичный"":false,""отделение"":false,""активист"":false,""линия"":false,""административный"":false,""отель"":false,""отдел"":false,""подмосковье"":false,""милиционер"":false,""отпускать"":false}","ChatCompletion(id='chatcmpl-9Ve6pEStR6sM6TENfKJ6AxfrEZvmr', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='2', role='assistant', function_call=None, tool_calls=None))], created=1717329375, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=372, total_tokens=373))",2,3
3001,lenta_ru,631b8a903cf48bd97d2c296c,main72,проигрывать поединок англия стиль спасение выкладывать фанат получаться вызов клип занятие помешать пожелать отборочный бокс,rather_good,поединок,"{""проигрывать"":false,""поединок"":false,""англия"":false,""стиль"":false,""спасение"":false,""выкладывать"":false,""фанат"":false,""получаться"":false,""вызов"":false,""клип"":false,""занятие"":false,""помешать"":false,""пожелать"":false,""отборочный"":false,""бокс"":false}","ChatCompletion(id='chatcmpl-9Ve6qSZG0T2sQOfis0UqGaBDNCl9u', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None))], created=1717329376, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=343, total_tokens=344))",1,3
4527,lenta_ru,631b85df939bfaaca55ffd5e,main7,состояние смерть друг скончаться тяжелый тело причина умирать вызывать скорый случаться мексика сердце поздно коллега,rather_good,Скорая помощь,"{""состояние"":false,""смерть"":false,""друг"":true,""скончаться"":false,""тяжелый"":false,""тело"":false,""причина"":false,""умирать"":false,""вызывать"":false,""скорый"":true,""случаться"":false,""мексика"":true,""сердце"":false,""поздно"":true,""коллега"":true}","ChatCompletion(id='chatcmpl-9Ve6rtJzsK4PJtSbjXS4XQPHSK0IT', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329377, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=328, total_tokens=329))",3,3
2496,lenta_ru,631b8617c8e7ef028f55a39e,main39,войско вывод премия пройти якобы подразделение очередной награда прежний обсуждать намерение церемония анатолий степень цитировать,rather_good,Армия ,"{""войско"":true,""вывод"":false,""премия"":false,""пройти"":false,""якобы"":false,""подразделение"":false,""очередной"":false,""награда"":true,""прежний"":false,""обсуждать"":false,""намерение"":true,""церемония"":false,""анатолий"":false,""степень"":false,""цитировать"":false}","ChatCompletion(id='chatcmpl-9Ve6rAa07kQi1GW72Uf39IUWNlgUs', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None))], created=1717329377, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=352, total_tokens=353))",1,3
10620,lenta_ru,631b85b78f66b70aae934b26,main47,обама запись альбом музыкант twitter страница youtube песня барак музыкальный facebook написать певец коллектив записывать,rather_good,Музыка,"{""обама"":true,""запись"":false,""альбом"":false,""музыкант"":false,""twitter"":true,""страница"":false,""youtube"":false,""песня"":false,""барак"":true,""музыкальный"":false,""facebook"":true,""написать"":false,""певец"":false,""коллектив"":false,""записывать"":false}","ChatCompletion(id='chatcmpl-9Ve6ruQBmk1neOVfmqvgKK2wkYzBt', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='2', role='assistant', function_call=None, tool_calls=None))], created=1717329377, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=338, total_tokens=339))",2,3
